2022-12-02 10:14:47.521991 ('127.0.0.1', 53673) /test_txt.txt 403
2022-12-02 10:14:47.992901 ('127.0.0.1', 53674) /test_txt.txt 403
2022-12-02 10:14:48.471323 ('127.0.0.1', 53675) /test_txt.txt 403
2022-12-02 10:15:00.652872 ('127.0.0.1', 53676) /Billy.html 200
2022-12-02 10:15:00.688163 ('127.0.0.1', 53677) /images/billy.png 200
2022-12-02 10:23:56.403722 ('127.0.0.1', 54214) /Van.html 200
2022-12-02 10:23:56.446570 ('127.0.0.1', 54215) /images/van.gif 403
2022-12-02 10:23:56.530658 ('127.0.0.1', 54216) /images/van.gif 403
2022-12-02 10:24:13.402752 ('127.0.0.1', 54220) /Van.html 200
2022-12-02 10:24:13.437837 ('127.0.0.1', 54221) /images/van.gif 403
2022-12-02 10:24:14.442692 ('127.0.0.1', 54222) /Van.html 200
2022-12-02 10:24:14.472612 ('127.0.0.1', 54223) /images/van.gif 403
2022-12-02 10:24:15.166761 ('127.0.0.1', 54224) /Van.html 200
2022-12-02 10:24:15.200676 ('127.0.0.1', 54225) /images/van.gif 403
2022-12-02 10:24:45.974456 ('127.0.0.1', 54228) /Van.html 200
2022-12-02 10:24:46.009363 ('127.0.0.1', 54229) /images/van.gif 200
2022-12-02 10:35:51.921158 ('127.0.0.1', 55079) /Billy.html 200
2022-12-02 10:35:51.971032 ('127.0.0.1', 55080) /images/billy.png 200
2022-12-02 10:37:24.851212 ('127.0.0.1', 55084) /Billy.html 200
2022-12-02 10:37:24.895971 ('127.0.0.1', 55085) /images/billy.png 200
2022-12-06 10:25:06.741924 ('127.0.0.1', 62562) /1.html 200
2022-12-06 10:25:13.479436 ('127.0.0.1', 62564) /2.html 200
2022-12-06 10:25:19.873127 ('127.0.0.1', 62565) /test_css.css 200
2022-12-06 10:25:28.427184 ('127.0.0.1', 62570) /test_txt.txt 403
2022-12-06 10:25:47.198378 ('127.0.0.1', 62587) /3.html 404
2022-12-06 10:26:55.867684 ('127.0.0.1', 62592) /cds.css 404
2022-12-06 10:28:20.518485 ('127.0.0.1', 62615) /Van.html 404
